operation,format,measure,value,file
write,csv,sec,172.13,money_laudering
write,parquet,sec,178.55,money_laudering
write,orc,sec,352.12,money_laudering
write,json,sec,230.85,money_laudering
write,avro,sec,167.97,money_laudering
read,csv,sec,0.83,money_laudering
read,parquet,sec,2.42,money_laudering
read,orc,sec,1.66,money_laudering
read,json,sec,111.96,money_laudering
read,avro,sec,0.63,money_laudering
size,csv,mb,2868.36,money_laudering
size,parquet,mb,857.16,money_laudering
size,orc,mb,793.16,money_laudering
size,json,mb,8352.24,money_laudering
size,avro,mb,979.78,money_laudering
query,csv,sec,55.54,money_laudering
query,parquet,sec,12.63,money_laudering
query,orc,sec,10.11,money_laudering
query,json,sec,94.06,money_laudering
query,avro,sec,109.96,money_laudering
write,csv,sec,357.21,money_laudering
write,parquet,sec,233.97,money_laudering
write,orc,sec,370.26,money_laudering
write,json,sec,229.21,money_laudering
write,avro,sec,190.15,money_laudering
read,csv,sec,0.26,money_laudering
read,parquet,sec,0.69,money_laudering
read,orc,sec,0.35,money_laudering
read,json,sec,91.68,money_laudering
read,avro,sec,0.15,money_laudering
size,csv,mb,2868.36,money_laudering
size,parquet,mb,857.16,money_laudering
size,orc,mb,793.16,money_laudering
size,json,mb,8352.24,money_laudering
size,avro,mb,979.78,money_laudering
query,csv,sec,43.89,money_laudering
query,parquet,sec,6.96,money_laudering
query,orc,sec,9.02,money_laudering
query,json,sec,65.56,money_laudering
query,avro,sec,37.42,money_laudering
write,avro,sec,220.06,money_laudering
write,csv,sec,267.53,money_laudering
write,json,sec,268.46,money_laudering
write,orc,sec,298.77,money_laudering
write,parquet,sec,228.75,money_laudering
size,avro,mb,979.78,money_laudering
size,csv,mb,2868.36,money_laudering
size,json,mb,8352.24,money_laudering
size,orc,mb,793.16,money_laudering
size,parquet,mb,857.16,money_laudering
read,avro,sec,0.38,money_laudering
read,csv,sec,0.46,money_laudering
read,json,sec,91.2,money_laudering
read,orc,sec,0.94,money_laudering
read,parquet,sec,1.54,money_laudering
query,avro,sec,43.68,money_laudering
query,csv,sec,54.75,money_laudering
query,json,sec,66.72,money_laudering
query,orc,sec,10.7,money_laudering
query,parquet,sec,9.06,money_laudering
write,avro,sec,108.82,money_laudering
write,csv,sec,124.36,money_laudering
write,json,sec,184.66,money_laudering
write,orc,sec,231.38,money_laudering
write,parquet,sec,138.88,money_laudering
size,avro,mb,979.78,money_laudering
size,csv,mb,2868.36,money_laudering
size,json,mb,8352.24,money_laudering
size,orc,mb,793.16,money_laudering
size,parquet,mb,857.16,money_laudering
read,avro,sec,0.28,money_laudering
read,csv,sec,0.46,money_laudering
read,json,sec,67.74,money_laudering
read,orc,sec,0.69,money_laudering
read,parquet,sec,1.24,money_laudering
query,avro,sec,30.99,money_laudering
query,csv,sec,35.57,money_laudering
query,json,sec,57.36,money_laudering
query,orc,sec,7.65,money_laudering
query,parquet,sec,7.1,money_laudering
all,avro,sec,129.86,money_laudering
all,csv,sec,165.44,money_laudering
all,json,sec,355.08,money_laudering
all,orc,sec,195.33,money_laudering
all,parquet,sec,109.97,money_laudering
write,avro,sec,123.64,money_laudering
write,csv,sec,151.54,money_laudering
write,json,sec,171.46,money_laudering
write,orc,sec,229.14,money_laudering
write,parquet,sec,138.15,money_laudering
size,avro,mb,979.78,money_laudering
size,csv,mb,2868.36,money_laudering
size,json,mb,8352.24,money_laudering
size,orc,mb,793.16,money_laudering
size,parquet,mb,857.16,money_laudering
read,avro,sec,0.08,money_laudering
read,csv,sec,0.17,money_laudering
read,json,sec,66.82,money_laudering
read,orc,sec,0.2,money_laudering
read,parquet,sec,0.61,money_laudering
query,avro,sec,27.38,money_laudering
query,csv,sec,36.05,money_laudering
query,json,sec,54.86,money_laudering
query,orc,sec,7.61,money_laudering
query,parquet,sec,6.82,money_laudering
all,avro,sec,134.74,money_laudering
all,csv,sec,167.22,money_laudering
all,json,sec,375.66,money_laudering
all,orc,sec,191.83,money_laudering
all,parquet,sec,110.7,money_laudering
write,avro,sec,122.56,money_laudering
write,csv,sec,156.78,money_laudering
write,json,sec,182.66,money_laudering
write,orc,sec,228.22,money_laudering
write,parquet,sec,145.74,money_laudering
size,avro,mb,979.78,money_laudering
size,csv,mb,2868.36,money_laudering
size,json,mb,8352.24,money_laudering
size,orc,mb,793.16,money_laudering
size,parquet,mb,857.16,money_laudering
read,avro,sec,0.11,money_laudering
read,csv,sec,0.21,money_laudering
read,json,sec,70.94,money_laudering
read,orc,sec,0.2,money_laudering
read,parquet,sec,0.59,money_laudering
query,avro,sec,28.17,money_laudering
query,csv,sec,40.67,money_laudering
query,json,sec,52.08,money_laudering
query,orc,sec,10.63,money_laudering
query,parquet,sec,5.79,money_laudering
all,avro,sec,125.29,money_laudering
all,csv,sec,178.28,money_laudering
all,json,sec,366.37,money_laudering
all,orc,sec,196.28,money_laudering
all,parquet,sec,113.91,money_laudering
write,avro,sec,124.2,money_laudering
write,csv,sec,153.24,money_laudering
write,json,sec,189.05,money_laudering
write,orc,sec,248.83,money_laudering
write,parquet,sec,150.79,money_laudering
size,avro,mb,979.78,money_laudering
size,csv,mb,2868.36,money_laudering
size,json,mb,8352.24,money_laudering
size,orc,mb,793.16,money_laudering
size,parquet,mb,857.16,money_laudering
read,avro,sec,0.1,money_laudering
read,csv,sec,0.18,money_laudering
read,json,sec,67.69,money_laudering
read,orc,sec,0.18,money_laudering
read,parquet,sec,0.78,money_laudering
query,avro,sec,35.37,money_laudering
query,csv,sec,36.25,money_laudering
query,json,sec,52.96,money_laudering
query,orc,sec,7.46,money_laudering
query,parquet,sec,6.1,money_laudering
all,avro,sec,133.02,money_laudering
all,csv,sec,195.47,money_laudering
all,json,sec,377.48,money_laudering
all,orc,sec,191.44,money_laudering
all,parquet,sec,104.05,money_laudering
write,avro,sec,133.69,money_laudering
write,csv,sec,163.37,money_laudering
write,json,sec,194.26,money_laudering
write,orc,sec,302.79,money_laudering
write,parquet,sec,174.63,money_laudering
size,avro,mb,979.78,money_laudering
size,csv,mb,2868.36,money_laudering
size,json,mb,8352.24,money_laudering
size,orc,mb,793.16,money_laudering
size,parquet,mb,857.16,money_laudering
read,avro,sec,0.14,money_laudering
read,csv,sec,0.26,money_laudering
read,json,sec,93.04,money_laudering
read,orc,sec,0.39,money_laudering
read,parquet,sec,1.15,money_laudering
query,avro,sec,46.37,money_laudering
